iso3,country,mmr,mmr_year,skilled_birth,skilled_birth_year,anc4,anc4_year,mcpr,mcpr_year,female_secondary_enroll,female_secondary_enroll_year,anemia_women,anemia_women_year
AGO,Angola,183,2023,49.6,2016,61.4,2016,12.5,2016,48.1175394651696,2023,43.8,2023
BEN,Benin,518,2023,78.1,2018,52.1,2018,16.9,2022,40.2818489074707,2022,50.0,2023
BFA,Burkina Faso,242,2023,79.8,2015,47.2,2015,31.2504762698599,2022,33.2389182465594,2024,44.3,2023
CAF,Central African Republic,692,2023,40.3,2019,41.4,2019,14.4,2019,12.7931003570557,2017,43.4,2023
CIV,Cote d'Ivoire,359,2023,84.0,2021,51.3,2016,25.151765242875,2022,64.4785040152839,2024,51.4,2023
CMR,Cameroon,258,2023,69.0,2018,64.9,2018,15.4,2018,42.4944197803389,2023,38.9,2023
COD,"Congo, Dem. Rep.",427,2023,85.2,2018,42.9,2018,17.5850190116636,2018,42.9527015686035,2021,40.0,2023
COG,"Congo, Rep.",241,2023,91.2,2015,79.0,2015,18.33248901,2015,46.8735198974609,2012,46.7,2023
ETH,Ethiopia,195,2023,49.8,2019,43.0,2019,34.6181151327819,2021,33.3210265952712,2015,23.1,2023
GAB,Gabon,233,2023,89.3,2012,77.6,2012,17.3,2021,72.0510629415333,2019,59.9,2023
GHA,Ghana,234,2023,78.9,2018,90.5,2019,27.8,2022,76.4284133911133,2024,36.0,2023
GIN,Guinea,494,2023,55.3,2018,35.3,2018,10.6,2018,30.6022090911865,2014,45.7,2023
KEN,Kenya,149,2023,70.2,2016,58.5,2020,56.9,2022,84.7505339840655,2023,32.2,2023
LBR,Liberia,628,2023,84.4,2020,87.3,2020,23.9,2020,37.0220985412598,2020,42.5,2023
MDG,Madagascar,445,2023,45.8,2021,59.9,2021,42.7,2021,35.2580222250234,2021,37.2,2023
MLI,Mali,367,2023,67.3,2018,43.3,2018,16.4,2018,37.1307560416794,2023,56.5,2023
MOZ,Mozambique,99,2023,73.0,2015,51.0,2018,25.4,2023,35.2994499206543,2017,47.0,2023
MRT,Mauritania,381,2023,70.4,2021,38.5,2021,12.8,2021,36.1789325617578,2020,54.5,2023
MWI,Malawi,225,2023,96.4,2020,50.5,2020,64.7285266936676,2020,37.2564052253575,2023,32.4,2023
NER,Niger,350,2023,43.7,2021,37.3,2021,13.8565143625154,2023,19.5379934744263,2024,47.1,2023
NGA,Nigeria,993,2023,50.7,2022,56.8,2018,18.2,2021,47.4061508178711,2023,37.9,2023
RWA,Rwanda,229,2023,94.2,2020,47.2,2020,58.4,2020,53.3234802182678,2024,16.1,2023
SEN,Senegal,237,2023,74.5,2019,29.2,2021,25.6,2023,50.2150531512901,2023,43.1,2023
SLE,Sierra Leone,354,2023,86.9,2019,78.8,2019,20.9,2019,91.7119293212891,2023,44.6,2023
TCD,Chad,748,2023,47.2,2019,31.0,2015,6.7,2019,19.4390107130432,2024,46.5,2023
TGO,Togo,349,2023,69.4,2017,54.8,2017,21.4,2017,59.0849653049812,2023,41.5,2023
TZA,Tanzania,276,2023,63.5,2016,62.2,2017,31.1,2022,29.2047595977783,2021,38.8,2023
UGA,Uganda,170,2023,74.2,2016,56.7,2019,38.0,2022,21.5002498626709,2007,27.2,2023
ZMB,Zambia,85,2023,80.4,2019,63.5,2019,47.5,2018,59.0707702636719,2024,27.1,2023
ZWE,Zimbabwe,358,2023,86.0,2019,71.5,2019,65.8,2015,50.8856201171875,2013,27.5,2023
